,Symbol,Name,Company Token,Market Cap,Country
942,rlmd,relmada therapeutics inc. common stock,['relmada'],96919434.0,united states
944,rlyb,rallybio corporation common stock,['rallybio'],217040731.0,united states
946,rmti,rockwell medical inc. common stock,['rockwell'],36026172.0,united states
947,rna,avidity biosciences inc. common stock,['avidity'],821726527.0,united states
948,rnaz,transcode therapeutics inc. common stock,['transcode'],5142649.0,united states
950,rnxt,renovorx inc. common stock,['renovorx'],29594313.0,united states
951,roiv,roivant sciences ltd. common shares,['roivant'],6545228031.0,united kingdom
952,roivw,roivant sciences ltd. warrant,['roivant'],0.0,united kingdom
953,rphm,reneo pharmaceuticals inc. common stock,['reneo'],230147257.0,united states
957,rvlp,rvl pharmaceuticals plc ordinary shares,['rvl'],78655248.0,united states
959,rvnc,revance therapeutics inc. common stock,['revance'],2886957669.0,united states
961,rvph,reviva pharmaceuticals holdings inc. common stock ,['reviva'],43772064.0,united states
962,rvphw,reviva pharmaceuticals holdings inc. warrants,['reviva'],0.0,united states
964,rxdx,prometheus biosciences inc. common stock,['prometheus'],9284422704.0,united states
965,rxrx,recursion pharmaceuticals inc. class a common stock,['recursion'],985804512.0,united states
967,rytm,rhythm pharmaceuticals inc. common stock,['rhythm'],958182838.0,united states
968,rzlt,rezolute inc. common stock (nv),['rezolute'],84703404.0,united states
969,sabs,sab biotherapeutics inc. common stock,['sab'],44843929.0,united states
970,sabsw,sab biotherapeutics inc. warrant,['sab'],0.0,united states
971,sage,sage therapeutics inc. common stock,['sage'],2924968440.0,united states
973,sava,cassava sciences inc. common stock,['cassava'],933930686.0,united states
974,sbfm,sunshine biopharma inc. common stock,['sunshine'],12198500.0,canada
975,sbfmw,sunshine biopharma inc. warrant,['sunshine'],0.0,canada
976,sclx,scilex holding company common stock,['scilex'],777454697.0,united states
977,sclxw,scilex holding company warrant,['scilex'],0.0,united states
978,scph,scpharmaceuticals inc. common stock,['scpharmaceuticals'],406336669.0,united states
980,scyx,scynexis inc. common stock,['scynexis'],99972393.0,united states
982,seel,seelos therapeutics inc. common stock,['seelos'],102041156.0,united states
984,selb,selecta biosciences inc. common stock,['selecta'],163284644.0,united states
993,shph,shuttle pharmaceuticals holdings inc. common stock,['shuttle'],17750365.0,united states
996,siga,siga technologies inc. common stock,['siga'],423820862.0,united states
1003,sln,silence therapeutics plc american depository share,['silence'],704130493.0,united kingdom
1004,slno,soleno therapeutics inc. common stock,['soleno'],31654054.0,united states
1005,slrx,salarius pharmaceuticals inc. common stock,['salarius'],4454798.0,united states
1006,sls,sellas life sciences group inc. common stock,['sellas'],48114257.0,united states
1012,sndx,syndax pharmaceuticals inc. common stock,['syndax'],1375045677.0,united states
1013,sngx,soligenix inc. common stock,['soligenix'],3333920.0,united states
1014,snoa,sonoma pharmaceuticals inc. common stock,['sonoma'],4618097.0,united states
1016,snse,sensei biotherapeutics inc. common stock,['sensei'],51102713.0,united states
1017,snti,senti biosciences inc. common stock,['senti'],45493075.0,united states
1021,sppi,spectrum pharmaceuticals inc.common stock,"['spectrum', 'inc.common']",222733689.0,united states
1023,sprc,scisparc ltd. ordinary shares,['scisparc'],4296474.0,israel
1024,spro,spero therapeutics inc. common stock,['spero'],102777894.0,united states
1025,spry,ars pharmaceuticals inc. common stock,['ars'],604467379.0,united states
1031,srrk,scholar rock holding corporation common stock,"['scholar', 'rock']",405483562.0,united states
1039,stok,stoke therapeutics inc. common stock,['stoke'],534187013.0,united states
1040,stro,sutro biopharma inc. common stock,['sutro'],327875003.0,united states
1043,stsa,satsuma pharmaceuticals inc. common stock,['satsuma'],35473173.0,united states
1045,sttk,shattuck labs inc. common stock,['shattuck'],114218094.0,united states
1047,supn,supernus pharmaceuticals inc. common stock,['supernus'],1996176146.0,united states
1048,surf,surface oncology inc. common stock,['surface'],23153499.0,united states
1049,svra,savara inc. common stock,['savara'],230410767.0,united states
1050,swtx,springworks therapeutics inc. common stock,['springworks'],1474302668.0,united states
1051,sxtc,china sxt pharmaceuticals inc. ordinary shares,['sxt'],3680662.0,china
1052,sybx,synlogic inc. common stock,['synlogic'],37487462.0,united states
1054,syrs,syros pharmaceuticals inc. common stock,['syros'],64084668.0,united states
1057,tals,talaris therapeutics inc. common stock,['talaris'],123596014.0,united states
1058,tara,protara therapeutics inc.  common stock,['protara'],35503204.0,united states
1059,taro,taro pharmaceutical industries ltd. ordinary shares,['taro'],1015167906.0,israel
